bc.no,inter,dose.type,species,species2,cicon,cicon2,identified.as,compound,metab.type,subclass,method,meth.extr,biofluid,hydrolysis.full,hydroylsis,quantified,trace,comments
1972,331,Experimental food,rat,Rat,10108703,101087,cyanidin-3-O-dioxalylglucoside,Cyanidin 3-O-(6''-dioxalyl-glucoside),Glycoside,Anthocyanins,78,NA,urine,None,no,FALSE,FALSE,
2069,348,Experimental food,rat,Rat,10108703,101087,cyanidin-dioxalylglucoside,Cyanidin 3-O-(6''-dioxalyl-glucoside),Glycoside,Anthocyanins,78,NA,urine,None,no,FALSE,TRUE,
1888,312,Experimental food,rat,Rat,10114903,101149,peonidin 3-O-(2-O-(6-O-(E)-caffeoyl-?-D glucopyranosyl)-?-D-glucopiranoside)-5-O-?-D-glucopyranoside,Peonidin 3-O-(2-O-(6-O-(E)-caffeoyl-D-glucosyl)-D-glucoside)-5-O-D-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1889,312,Experimental food,rat,Rat,10114903,101149,peonidin 3-O-(2-O-(6-O-(E)-caffeoyl-?-D glucopyranosyl)-?-D-glucopiranoside)-5-O-?-D-glucopyranoside,Peonidin 3-O-(2-O-(6-O-(E)-caffeoyl-D-glucosyl)-D-glucoside)-5-O-D-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
273,92,Food,rat,Rat,10115303,101153,peonidin-3-O-sophoroside,Peonidin 3-O-sophoroside,Glycoside,Anthocyanins,78,None,urine,None,no,TRUE,FALSE,
1987,333,Pure compound,rat,Rat,10115903,101159,4'-O-methyl cyanidin 3-O-?-D-glucopyranoside,4'-O-Methylcyanidin 3-O-D-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,FALSE,FALSE,
1988,333,Pure compound,rat,Rat,10115903,101159,4'-O-methyl cyanidin 3-O-?-D-glucopyranoside,4'-O-Methylcyanidin 3-O-D-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
2080,350,Experimental food,rat,Rat,10116203,101162,cyanidin-3(6-dimalonyl)glucoside,"Cyanidin 3-O-(3'',6''-O-dimalonyl-glucoside)",Glycoside,Anthocyanins,78,PP,urine,None,no,TRUE,FALSE,
2081,350,Experimental food,rat,Rat,10116203,101162,cyanidin-3(6-dimalonyl)glucoside,"Cyanidin 3-O-(3'',6''-O-dimalonyl-glucoside)",Glycoside,Anthocyanins,78,PP,plasma,None,no,TRUE,FALSE,
1898,317,Pure compound,rat,Rat,10116503,101165,4-O-methyl delphinidin 3-O-?-D-glucopyranoside,4-O-Methyldelphinidin 3-O-D-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
